gender,worthChange,name,timestamp,industry,lastName,uri,imageUri,realTimeWorth,source,realTimePosition,squareImage,realTimeRank,country,age,title,headquarters,state,rank,worth,government,position,pay,managementAssets,salary
M,-0.775,Wang Miaotong,1531878901818,Automotive,Wang,wang-miaotong,http://i.forbesimg.com/media/lists/people/no-pic_100x100.jpg,1024.3,auto parts,2089,,2089,China,61,,,,1376,1500.0,,1459,,,
M,279.522,Wang Wenjing,1531878901818,Technology,Wang,wang-wenjing,http://i.forbesimg.com/media/lists/people/wang-wenjing_100x100.jpg,2941.774,business software,833,//specials-images.forbesimg.com/imageserve/589de75931358e1a35ab137c/416x416.jpg?background=000000&cropX1=2&cropX2=744&cropY1=44&cropY2=787,833,China,53,,,,1376,1500.0,,1460,,,
M,-0.286,Ian Wood,1531878901818,Energy,Wood,ian-wood,http://i.forbesimg.com/media/lists/people/ian-wood_100x100.jpg,1461.492,energy services,1602,//specials-images.forbesimg.com/imageserve/56cc68ace4b062f6b59a5100/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=6&cropY2=747,1602,United Kingdom,75,,,,1376,1500.0,,1461,,,
M,-6.197,Wu Yiling,1531878901818,Healthcare,Wu,wu-yiling,http://i.forbesimg.com/media/lists/people/wu-yiling_100x100.jpg,1251.854,pharmaceuticals,1824,//specials-images.forbesimg.com/imageserve/52fe6d2bf24e45432177784f7e1b8666/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=66&cropY2=810,1824,China,68,,,,1376,1500.0,,1462,,,
M,14.872,Takao Yasuda,1531878901818,Fashion & Retail,Yasuda,takao-yasuda,http://i.forbesimg.com/media/lists/people/takao-yasuda_100x100.jpg,2073.058,retail,1176,//specials-images.forbesimg.com/imageserve/17575027bdc253768c3f5179976023df/416x416.jpg?background=000000&cropX1=93&cropX2=716&cropY1=13&cropY2=637,1176,Japan,69,,,,1376,1500.0,,1463,,,
M,-16.05,Albert Yeung,1531878901818,Diversified,Yeung,albert-yeung,http://i.forbesimg.com/media/lists/people/albert-yeung_100x100.jpg,1483.868,"real estate, retail",1589,//specials-images.forbesimg.com/imageserve/5a7e66254bbe6f2652f52a49/416x416.jpg?background=000000&cropX1=103&cropX2=1435&cropY1=92&cropY2=1424,1589,Hong Kong,75,,,,1376,1500.0,,1464,,,
M,-1.91,Zhang Jingzhang,1531878901818,Manufacturing,Zhang,zhang-jingzhang,http://i.forbesimg.com/media/lists/people/no-pic_100x100.jpg,1043.292,precision machinery,2059,,2059,China,82,,,,1376,1500.0,,1465,,,
M,9.75,Sheng Jian Zhong,1531878901818,Real Estate,Zhong,sheng-jian-zhong,http://i.forbesimg.com/media/lists/people/sheng-jian-zhong_100x100.jpg,1723.536,real estate,1396,//specials-images.forbesimg.com/imageserve/5a80f6a2a7ea431690133ee7/416x416.jpg?background=000000&cropX1=1120&cropX2=4272&cropY1=7&cropY2=3159,1396,Singapore,60,,,,1376,1500.0,,1466,,,
M,21.32,Zhou Hongyi,1531878901818,Technology,Zhou,zhou-hongyi,http://i.forbesimg.com/media/lists/people/zhou-hongyi_100x100.jpg,6161.798,security software,288,//specials-images.forbesimg.com/imageserve/936450a91a016db56ea72c10985090a2/416x416.jpg?background=000000&cropX1=8&cropX2=733&cropY1=18&cropY2=743,288,China,47,,,,1376,1500.0,,1467,,,
M,2.695,William Ackman,1531878901818,Finance and Investments,Ackman,william-ackman,http://i.forbesimg.com/media/lists/people/william-ackman_100x100.jpg,1111.965,hedge funds,1989,//specials-images.forbesimg.com/imageserve/5a9090b4a7ea434a0c2721c1/416x416.jpg?background=000000&cropX1=1835&cropX2=2934&cropY1=500&cropY2=1599,1989,United States,52,"Founder, CEO, Pershing Square Capital Management, L.P.",NY,New York,1468,1400.0,0,1468,,,
